@id	name	highway
5019457	E. Mendiola Street	tertiary
5019469	J. Figueras Street	tertiary
5019952	Legarda Street	secondary
5019965	Adriatico Street	tertiary
5032435	Lerma Street	primary
5051290	Remedios Circle	tertiary
5051331	Roxas Boulevard Service Road	tertiary
5051341	Escoda Street	residential
5051358	Modesto Street	residential
5051359	F. Benitez Street	residential
5051364	G. Apacible Street	tertiary
5051390	Fernando Street	residential
5055396	Merced Street	residential
5055399	PeÃ±afrancia Street	tertiary
5055400	San Antonio Street	residential
5055403	Santo Sepulcro Street	residential
5055414	Perdigon Street	residential
5055416	President Quirino Avenue Extension	secondary
5055419	West Zamora Street	tertiary
5055420	Figueroa Street	tertiary
5055489	Jorge Bocobo Street	tertiary
5055496	Angel Linao Street	residential
5055500		service
5055501		service
5055502		service
5055507	Andres Soriano Avenue	tertiary
5366988	Arellano Avenue	tertiary
5720231	Don Quijote Street	residential
5720529	Cavite Street	residential
5720534	Leonor Rivera Street	tertiary
5720552	Tecson Street	residential
5720557	Felix Huertas Street	residential
5720559	Oroquieta Street	residential
5720565	P. Guevarra Street	residential
5720572	P. Guevarra Street	residential
5720579	Felix Huertas Street	residential
5720598	Oroquieta Street	residential
5720599	Karapatan Street	residential
6117994	Tayuman Street	primary
6117997	Laurel Street	service
6117999	Quirino Street	residential
6118168	Quiricada Street	tertiary
6118170	A. Rivera Street	tertiary
7286859	Ayala Boulevard	secondary
7286894	President Elpidio Quirino Extension	primary
7715247	Velasquez Street	tertiary
7715272	Santa Maria Street	residential
7715338	Franco Street	residential
7715385	Juan Luna Street	secondary
7715628	F. Yuseco Street	tertiary
7716720	T. Mapua Street	tertiary
7716725	Herrera Street	residential
7716734	Severino Reyes Street	residential
7716744	Ipil Street	residential
7980756	M. Earnshaw Street	tertiary
7980759	Nicanor Reyes Street	secondary
7980873	R. Papa Street	residential
7980896	Loyola Street	tertiary
7980917	P. Paredes Street	unclassified
7980927	J. Fajardo Street	tertiary
7980947	G. Tolentino Street	residential
7980948	Padre Noval Street	tertiary
7980951	Padre Campa Street	tertiary
7980952	I. Delos Reyes Street	residential
7980959	P. Paredes Street	residential
7980961	V. Concepcion Street	residential
7980971	P. Florentino Street	tertiary
7980974	F. Jhocson Street	residential
7980975	Florentino Cayco Street	residential
8073429	CasaÃ±as Street	residential
8073449	Crisostomo Street	residential
8104185	Labo Street	residential
8104204	Basilio Street	residential
8162846	Calamba Street	residential
8382241	Mendiola Extension Street	unclassified
8402382	Felix Huertas Street	tertiary
8434857	Arellano Avenue	secondary
8598550	Sisa Street	residential
8598551	Musa Street	service
8598578	T. Anzures Street	residential
8598579	Honorio Ventura Street	residential
8598580	J. Fajardo Extension	residential
8652885		primary_link
8652886	C. Buenviaje Street	residential
8652887	P. Hintoloroso Street	residential
8652888	Road 4	residential
8652892	Ang Buhay Street	residential
8652897	1st Street	residential
8652898	2nd Street	residential
8652899	3rd Street	residential
8652900	4th Street	residential
8652901	5th Street	residential
9135052	Oroquieta Street	residential
9135905	Rizal Avenue	primary
9136006	Rizal Avenue	primary
9136504	Blumentritt Road	tertiary
9136639	A.H. Lacson Avenue	primary
9137426	Tayuman Street	primary
9137588	Lope de Vega Street	residential
9137641	Fugoso Street	tertiary
9137790	Quiricada Street	tertiary
9137805	San Lazaro Street	residential
9137814	Malabon Street	residential
9138590	Craig Street	residential
9138643	E. Quintos Senior Street	residential
9138697	Antipolo Street	construction
9141949	Felix Roxas Street	residential
9159031	Kundiman Street	residential
9159108	San Diego Street	residential
9159763	Maria Clara Street	tertiary
9159879	Gelinos Street	residential
9159963	Asturias Street	residential
9160143	R. Papa Street	residential
9160212	G. Tolentino Street	residential
9160230	Padre Noval Street	tertiary
9160262	Galicia Street	residential
9160321	M. F. Jhocson Street	residential
9160359	Padre Campa Street	residential
9160651	Sergio H. Loyola Street	tertiary
9160739	Padre Noval Street	residential
9160850	Moret Street	residential
9160986	P. Casal Street	secondary
9161094	E. Mendiola Street	unclassified
9161225	Carlos Palanca Street	tertiary
9161935	Felix Huertas Street	tertiary
9161943	Laguna Street	residential
9162016	Old Antipolo Street	residential
9162065	Antipolo Street	tertiary
9162842	Algeciras Street	residential
9162910	Miguelin Street	residential
9162983	Maria Cristina Street	residential
9163271	Arlegui Street	unclassified
9455287	Lim Ong Road	unclassified
9455336	Matandang Sora Road	unclassified
9455342		service
9455381		service
9455414	Tan Bun Yao Road	service
9455475		service
9455484	Kong Lim Road	service
9455518		service
9455533	Consul General Liang Road	service
9455575		service
9455599		service
9455643		service
9455975	2nd Street	service
9456058	Street 24	service
9456069		service
9456085	Street 9	service
9456096	Street 16	service
9456099	2nd Street	service
9463960	Balaguer Street	residential
9463966	Becerra Street	residential
9463990	Vision Street	residential
9463999	Karapatan Street	service
9464008	Elias Street	residential
9464037	Felina Street	service
9464060	Langit Street	service
9464139	Santander Street	residential
9464144	Rosarito Street	service
9464722	Carola Street	residential
9464909	Adelina Street	residential
9464915	Paquita Street	residential
9465018	L. Ma. Guerrero Drive	service
9465033	OsmeÃ±a Drive	service
9465039	Quezon Drive	service
9495415	Paltoc Street	residential
9495484	Maganda Street	residential
9495515	Alegria Street	residential
9495520	Kasama Street	residential
9495525	Ligaya Street	residential
9495566	Arevallo Street	residential
9495736	Algeciras Street	unclassified
9495769	Honradez Street	residential
9496479	Kundiman Street	service
9496514	Craig Street	residential
9496537	Instruccion Street	residential
9496598	Laon Laan Street	primary
9703373	Dimasalang Road	primary
9703374	Dimasalang Road	primary
9793961	Magsaysay Boulevard	primary
9866594	J. Barlin Street	residential
9866608	Eloisa Street	residential
9866971	Josefina Street	residential
9866997	Ibarra Street	residential
9867023	Josefina â  Street	residential
9867024	Sisa Street	residential
9867043	Sisa Street	residential
9867053	Basilio Street	residential
9867059	Metrica Street	residential
9867087	General Geronimo Street	residential
9867092	Alcantara Street	residential
9867184	Minerva Street	residential
9867481	President Quirino Avenue	primary
9867771	Librada Avelino Street	tertiary
9867874		primary_link
9867880	Pedro Gil Street	secondary
9867992	Sagrada Familia Street	residential
9868078	Jose Syquia Street	tertiary
9868086	Revillin Street	residential
9868094	Jose Syquia Street	residential
9868096	Manuel Roxas Street	tertiary
9868571	Espiritu Street	residential
9868801	T. Ayala Street	residential
9868998	Doctor M. L. Carreon Street	secondary
10086436	Second East Street	residential
10086771		service
10086862	Old Road	tertiary
10086870		service
10086907	First East Street	residential
10086913		service
10086991		residential
10087008		service
10087209		track
10087290		service
10087370		service
10087381	Clark Street	residential
10087386	State Route 43	primary
10087400	Second North Street	residential
10087413	Main Street	primary
10087478	First West Street	residential
10087482	Old Road	residential
10087501	Third West Street	residential
10087512	4th North Street	residential
10087538	West Third North Street	residential
10087543	Solomons Way	residential
10087654	Bourbon Street	service
10087656	Third East Street	residential
10087658	West Second North Street	residential
10087667	West First North Street	residential
10087723	State Line Road	tertiary
10087733	Fourth North Street	residential
10087749	First North Street	residential
10087750	Fifth East Street	residential
10087751	Second West Street	residential
10087761	Fourth East Street	residential
10087773	Third North Street	residential
10087786	Redden Lane	service
10087789	Lakeview Drive	residential
10087791	Farrington Drive	residential
10267170	Old Santa Mesa Street	secondary
10853045	Silencio Street	residential
10853062	Sociego Street	residential
11724093	Vicente G. Cruz Street	tertiary
11724463	Crisostomo Street	residential
11724569	Matimyas Street	tertiary
11724576	Craig Street	residential
11724664	Firmeza Street	residential
11724903	A. Maceda Street	tertiary
12254885	Mariano Fortunato Jhocson Street	residential
12254923	San Anton Street	residential
12254952	Dalupan Street	residential
12255025	Lardizabal Street	residential
12255029	G. Tuazon Street	residential
12255052	CastaÃ±os Street	residential
12255066	Manrique Street	residential
12448619	J. Dela Rosa Street	residential
12449031	Sulucan Street	residential
12449096	J. Fajardo Street	tertiary
12449265	Sancho Panza Street	service
12449330	MontaÃ±a Street	service
12449345	San Anton Street	residential
12449793		service
12450184		footway
12450193	P. Guevarra Street	residential
12450267	Santa Teresita Street	tertiary
12451564	Extremadura Street	residential
12612209	19 de Agosto Street	residential
12804010		footway
12804403	Dapo	footway
12804722	Ayala Boulevard	secondary
12804807	Candida	footway
12858961	Roy Lee Street	residential
12858965	Baltimore Avenue	secondary
12858968	Baltimore Avenue	secondary
12858975	Vandiver	residential
12858977	Olympia	residential
12858989	Benton Street	residential
12859179		service
12859481		residential
12859813		service
12860666	East Olympia Avenue	residential
12860759	West Lake Street	secondary_link
12860761		service
12860764		service
12860819		service
12860821		service
12860952		service
12860969		residential
12861005		residential
12861389		residential
12861399		residential
12861423		residential
12861467		service
12861548		residential
12861585	Allen Street	residential
12861725	Clarence	residential
12861752	Nancy	residential
12861819	Lanes Way	residential
12861874	Wilson Street	residential
12861912	West CC Drive	residential
12861970	Tipton Drive	residential
12861978	North County Road 275	residential
12861982	North County Road 275	residential
12862027	County Road W246	residential
12862186	Haywood	residential
12862250	West Springer Street	residential
12862345	West County Road 246	unclassified
12862359	Future	residential
12862514	Parker	residential
12862530	Dunkin Cove	residential
12862586	North Davis Street	tertiary
12862609	Petrel	residential
12862611	East Lake Street	tertiary
12862737	West Olympia Avenue	tertiary
12862739	East Olympia Avenue	tertiary
12862769	West Releigh	residential
12862787	Floyd	residential
12862845	North County Rd243	residential
12863038	Co Rdn 165	residential
12863061	Davidson Street	residential
12863109	Wagner	residential
12863148	2nd	residential
12863188	Allen Street	residential
12863200	Boston Avenue	residential
12863308	3rd	residential
12863358	Pinkey Drive	residential
12863395	Kip Lane	residential
12863454	West Dewey	residential
12863469	West Fleeman Street	secondary
12863501	Johnson	residential
12863529	Buttercup Lane	residential
12863549	Fleeman Street	tertiary
12863567	Highway 18	primary
12863574	Concord Avenue	residential
12863592	Cary	residential
12863617	Country Club Circle	residential
12863674	South Davis Street	tertiary
12863680	East Releigh	residential
12863819	Cora Lee Lane	residential
12863886	Davis	residential
12864074	Sandusky Drive	residential
12864125	East Fleeman Street	residential
12864128	East Fleeman Street	secondary
12864321	Pine View Circle	residential
12864471	Kennedy Lane	residential
12864499	East Springer Street	residential
12864533	Lane's Way	residential
12864558	West Lake Street	secondary
12864626	Morley	residential
12864700	Cedar Creek	residential
12864723	Highway 18	primary
12864755	Old Highway 18	secondary
12864930	Walnut	residential
12864932	Dixie	residential
12864990	Susan	residential
12864996	1st	residential
12865007	Bernice	residential
12865022	Airport Road	unclassified
12865026	Airport Road	tertiary
12865037	North Boston Street	residential
12865074	Reynolds Avenue	residential
12865113	East Olympia Street	residential
12865158	Boston Street	residential
12865200	East N Dewey	residential
12865251	Church Street	residential
12865291	Roy Benton Drive	residential
12865309	South Dewey	residential
12865329	Haywood Street	residential
12865348	Alma Avenue	residential
12865386	Dwight Street	residential
12865421	Vasser	residential
12865442	Dunkin Avenue	residential
12865610	North Dunkin Street	residential
12865732	Farmer Lane	residential
12865775	Jason Circle	residential
12865900	Park	residential
12865959	Costner Road	tertiary
12865977		secondary
12866041	Bunch Street	residential
12866055	South Dunkin Street	residential
12866087	Truman Street	residential
12866118	Baker	residential
12866125	County Road 249	residential
12866137	Roosevelt Road	residential
12866220	North County Road 243	unclassified
12866223	North County Road 243	residential
12866236	Tony	residential
12866299	Leah Drive	residential
12866328	Dixon	residential
13866854	Damka Street	residential
13866855	Sampaloc Street	pedestrian
13866856	Narra Street	service
13866857	Banaba Street	pedestrian
13866858	Damka Street	residential
13866859	Victorino Mapa Street	primary
13866882	Maria Cristina Street	residential
13866890	Kundiman Street	service
13866892	Betina Street	residential
13866911	Roxas Street	residential
13866924	Ilaw ng Nayon Street	residential
13866926	Don Benito Legarda Street	residential
13866928	Malamig Street	residential
13866929	Santa Cruz Street	residential
13866930	Santa Clara Street	residential
13866942	3rd Street	residential
13866943	2nd Street	residential
13866945	1st Street	service
13866947	Calabash Road	residential
13972248	San Juan Bridge	secondary
14096015	Solis Street	tertiary
14096044		tertiary
14096288	Molave Street	residential
14096329	Caloocan Street	residential
14096362	Bulacan Street	residential
14096536	Ambrosio Lorenzo Junior Street	residential
14096627	Severino Reyes Street	residential
14096643	Ipil Street	residential
14096735	Bagac Street	residential
14096740	Limay Street	tertiary
14097239	T. Mapua Street	residential
14097271	S. Tabora Street	residential
14097274		service
14097337	Hermosa Street	tertiary
14097348	Yangco Street	residential
14097387	S. Del Rosario Street	residential
14097392	Del Fierro Street	tertiary
14097419	Del Rosario Street	residential
14097432	Fidel Street	residential
14097495	T. Earnshaw Street	tertiary
14097536	Cavite Street	residential
14098981	Rodriguez Street	tertiary
14099000	Buendia Street	residential
14099015	Pinoy Street	residential
14099044	Velasquez Street	tertiary
14099083	Dayao Street	residential
14099103	Playa Street	residential
14099125	Gamban Street	residential
14099141	Beltran Street	residential
14099173	Younger Street	residential
14099234	San Pedro Street	residential
14099281	Paulino Extension	pedestrian
14099349	Nava Street	residential
14099369	Velasquez Street	tertiary
14099536	Antipolo Street	residential
14099697	Velasquez Street	tertiary
14115827	Pampanga Street	tertiary
14115850	R. Fernandez Street	residential
14115904	Benita Street	residential
14115960	Benita Street	residential
14115982	Clemente Street	residential
14116005	Pag-asa Street	residential
14116020	Danganan Street	residential
14116059	Javier Street	residential
14116133	Alcalde Street	residential
14116226	General Lukban Street	residential
14116719	Mel Lopez Boulevard	trunk
14116864	C. M. Recto Avenue	secondary
14117285	Vitas Road	tertiary
14117496	E. Jacinto Street	tertiary
14117790	Mel Lopez Boulevard	tertiary
14118694	Perfecto Street	residential
14266878	Pablo Ocampo Street	secondary
14267365	Agata Street	residential
14267471	Dagonoy Street	residential
14267783	Madre Perla Street	residential
14267812	Opalo Street	residential
14267961	Esmeralda Street	residential
14268023	Amatista Street	residential
14268074	Coral Street	residential
14269540	Augusto Francisco Street	residential
14341643	Honorio Lopez Boulevard	secondary
14342822	Mel Lopez Boulevard	trunk
14342823	Mel Lopez Boulevard	trunk
14342853	Radial Road 10	trunk
14342855	Mel Lopez Boulevard	trunk
14437640	Onyx Street	secondary
14437704	Onyx Street	secondary
14437776	Topacio Street	residential
14437791	Granate Street	residential
14438022	Granate Street	residential
14438129	Mercurio Street	residential
14438134	Oro A Street	residential
14438144	Nickel Street	residential
14438148	Tenorio Street	residential
14438165	Oro B Street	residential
14438169	Eloriaga Street	pedestrian
14438178	Iridium Street	residential
14438183	Liwayway Street	residential
14438210	Garrido Street	residential
14438219	Milagrosa Street	residential
14438232	Ligaya Street	residential
14438242	Sampaguita Street	residential
14438248	Hiwaga Street	residential
14438262	Zamora Street	residential
14438303	Raymundo Street	residential
14438637	Florentino Torres Street	residential
14438658	Augusto Francisco Street	residential
14438700	Mataas Na Lupa Street	residential
14438702	Anak Bayan Street	residential
14438708	Esguerra Street	tertiary
14438723	Raymundo Street	residential
14438724	Road 16	residential
14438725	Road 15	residential
14438727	Suter Extension	residential
14438728	Road 12	residential
14438729	Road 14	residential
14438730	Road 11	residential
14438731	Road 17	residential
14438732	Road 5	residential
14438733	Road 4	residential
14438734	Road 7	residential
14438735	Road 14	residential
14438736	Road 8	residential
14438737	Eloriaga Street	residential
14438738	M. Torres Street	residential
14438739	Diamante Extension	residential
14438741	Arellano Street	residential
14438742	1st Street	residential
14438743	6th Street	residential
14438744	Neptuno Street	residential
14438745	7th Street	residential
14438746	Manggahan Street	residential
14438747	Road 19	residential
14438748	Saturno Street	residential
14438749	Main Street	residential
14438751	2nd Street	residential
14438752	3rd Street	residential
14438753	4th Street	residential
14438754	Road 2	residential
14576541	Raxabago Street	tertiary
14576544	Raxabago Street	tertiary
14576548	Capulong Street	primary
14710305	Enrique Street	residential
14710320	Mercedes Street	residential
15245442	Ana Sarmiento Street	residential
15246638	De Pinedo Street	residential
15246641	Smith Street	residential
15246644	Paz Street	residential
15246656	Icasiano Street	residential
15246671	Merced Street	residential
15246682	F. M. Gernale Street	residential
15246700	F. Benitez Street	residential
15302559	Mabini Flyover	primary
15302562	President Quirino Avenue	primary
15693883	A. Cagayan Street	residential
15693885	Del Pilar Street	residential
15693888	Callejon 8	service
15693894	Callejon 7	service
15693896	Callejon 6	service
15693900	Callejon 9	service
15693901	Callejon 10	service
15693908	Bayani Street	residential
15695101	Suter Street	residential
15695104	A. Cagayan Street	residential
15695105	Paco Roman Street	residential
15695107	A. Dela Rosa Street	residential
15695110	Abra Street	residential
15695112	Kasarinlan Street	residential
15695118	Calderon Street	residential
15695122	Havana Street	residential
15695124	La Torre Street	residential
15695126	Leiva Street	residential
15695129	Hernandez Street	residential
15696006	Pilar Estate â¡	residential
15781815	Santa Maria Street	residential
15781819	La Purisima Concepcion Road	residential
15781821		footway
15781822		service
15781823	Fabie Street	residential
15781826	Valentina Street	residential
15781827	Block 20	residential
15781828	Kapampangan Street	pedestrian
15781830		pedestrian
15781835		pedestrian
15781837		pedestrian
15781841		pedestrian
15781845	Aragon Street	residential
15781848	Eden Street	residential
15781851	Felix Street	residential
15781853	Hollywood Street	residential
15781859	A. Delas Alas Street	residential
15781862	Amparo Street	service
15781863	Kapampangan Street	residential
15785403		service
15785406		service
15785411		service
15785415	Mount Mayon Street	living_street
15785418	J. Posadas Street	residential
15785419	Road 6	residential
15785423	Road 3	residential
15785424	Road 2	residential
15785426	Road 1	residential
15785428	Road 4	residential
15785430	Road 5	residential
15785436	1st Street	residential
15785439	Road 7	residential
15785441	Road 8	residential
15785444	A. Villamor Street	residential
15785450	Kalahi Street	residential
15785456	M. Obrero Street	residential
15785462	J. Esguerra Street	residential
15785466	A. Jorge Street	residential
15785467	Cristobal Street	residential
15785471	E. Jorge Street	residential
15785473	7th Street	service
15785476	6th Street	service
15785483	5th Street	residential
15785487	4th Street	residential
15785493	L. Garcia Street	residential
15785495	Old Panaderos Street	residential
15787761		residential
15833742	A. Cruz Street	residential
15833743	Villanueva Street	residential
15833814	Makisig Street	residential
15833824	Bacood Street	residential
15833833	Kalinga Street	residential
15833846	Damayan Street	residential
15833850	Dalisay Street	residential
15834230	CastaÃ±eda Street	tertiary
15834396	P. Domingo Street	residential
15867115		secondary_link
15867459	Mahatma Gandhi Street	residential
15867661	P. Correa Street	unclassified
15867734	Tanque Street	service
15867806	Calixto Dyco Street	residential
15867949	Yakal Street	residential
15867968	Apitong Street	residential
15867986	Dao Street	residential
15868074	Lauan Street	residential
15868216	PeÃ±afrancia Street	residential
15868688	Quezon Boulevard	primary
15870520	DasmariÃ±as Street	tertiary
15870568	Muelle de Binondo	residential
15870654	San Fernando Street	tertiary
15870697	Madrid Street	tertiary
15870773	Sevilla Street	residential
15870873	Barcelona Street	residential
15870898	Tabora Street	residential
15871901	Kagitingan Street	residential
15872250	Dagupan Street	tertiary
16077527	Plaza Santa Cruz	primary
16077573	Barraca Street	residential
16077599	Urbiztondo Street	residential
16077781	A. Rivera Street	tertiary
16081505	Florentino Torres Street	residential
16081568	Florentino Torres Street	residential
16081644	Carlos Palanca Street	tertiary
16081678	P. Paterno Street	residential
16174062	F. R. Hidalgo Street	tertiary
16174067	Arlegui Street	tertiary
16174707	Nicanor Padilla Street	residential
16175482	Santa Potenciana Street	residential
16175529	Recoletos Street	residential
16176296		trunk_link
16176299	Bonifacio Drive	tertiary
16176552	18th Street	unclassified
16176619	A. C. Delgado Street	tertiary
16176631	14th Street	service
16176638	15th Street	unclassified
16176658	Atlanta Street	unclassified
16176668	Boston Street	service
16176689	11th Street	residential
16176697	Railroad Street	tertiary
16176832	Padre Burgos Avenue	primary
16176935	Banquero Street	unclassified
16176986	San Vicente Street	residential
16177077	San Francisco Street	residential
16267375	Remigio Street	residential
16267385	Bambang Street	tertiary
16267402	Alvarez Street	tertiary
16267469	Balaya Street	service
16267489	Arqueros Street	residential
16267516	Deodato Street	service
16267531	Endaya Street	residential
16267544	Gabriela Street	residential
16267559	Hamabar Street	service
16267571	Mercado Street	residential
16267590	Jose Basa Street	residential
16267622	Linampas Street	service
16267655	Malong Street	residential
16267693	Nicodemos Street	residential
16267702	Coral Street	residential
16267718	Pilapil Street	service
16267750	Pavia Street	residential
16267830	Maria Guizon Street	residential
16267856	Fullon Street	residential
16267912	Juan Luna Street	secondary
16267952	Almario Street	residential
16267975	Moriones Street	tertiary
16268341	Narra Street	residential
16268613	Mel Lopez Boulevard	trunk
16268754	MacArthur Bridge	primary
16268780	MacArthur Bridge	primary
16353314	Padre Burgos Avenue	secondary
16353552	Finance Road	secondary
16353695	Quintin Paredes Road	secondary
16353699	Quintin Paredes Road	secondary
16353995	Carriedo Street	residential
16354000	Platerias Street	service
16354016	P. Gomez Street	residential
16354038	Sales Street	residential
16354053	Villalobos Street	unclassified
16354221	Evangelista Street	residential
16354264	Z. P. de Guzman Street	residential
16354304	Ronquillo Street	primary
16354368		service
16354607	Severino Reyes Street	tertiary
16354768	F. R. Hidalgo Street	pedestrian
16354911	J. Dela Rosa Street	residential
16354995	J. Nepomuceno Street	residential
16355141	J. Nepomuceno Street	service
16355458	Ampioco Street	residential
16355477		pedestrian
16355487	Nepa Street	tertiary
16355489	Pahati Street	residential
16355494	Alfonso Street	residential
16355499	Banahaw Street	residential
16355508	Moderna Street	residential
16355540	Alabat Street	residential
16355542	Kawit Street	residential
16355556	Ilaw Street	residential
16355559	Pastor Street	service
16355563	Buendia Street	residential
16355580	Mirasol Street	service
16355581	Patria Street	tertiary
16355585	Sofia Street	residential
16355609	Salonga Street	residential
16355624	Eduque Street	residential
16355627	Alfonso Street	residential
16355641	Ampioco Street	residential
16355712	Kalakal Street	unclassified
16355801	General Vicente Lim Street	unclassified
16355844	Malaya Street	unclassified
16355981	Silangan Street	unclassified
16355996	Kaunlaran Street	unclassified
17899147	P. Casal Street	secondary
17899165	P. Casal Street	secondary
18578428	Quezon Boulevard	primary
18578488	Rizal Avenue	primary
18578602	Metrica Street	residential
18585105		footway
18585165	Juaning Street	service
18585170	Alfredo Street	service
18585183	Centro Street	service
18585189	Kalimbas Street	service
18585193	Valencia Street	service
18754937	Paz Mendoza Guazon Avenue	secondary
18754940	Sagrada Familia Street	residential
20816626	Legarda Street	secondary
20816644	LRT Line 2 Legarda Station Path	service
20819402	Padre Burgos Avenue	primary
20821678	MacArthur Bridge	primary
20821685	MacArthur Bridge	primary
20821692	MacArthur Bridge	primary
20821701	MacArthur Bridge	primary
20828108	Quezon Boulevard	primary
21016923	M. Gallan Street	residential
21017050	Arsenio Herrera Street	residential
21017123	Ricardo Papa Street	tertiary
21017190	M. Ocampo Street	residential
21017230	D. Gomez Street	residential
21017311	F. Aguilar Street	residential
21017612	S. de los Santos Street	residential
21017651	J. Lukban Street	residential
21017693	A. Benito Tan Street	residential
21017730	A. Cecilio Street	residential
21017826	G. Santiago Street	residential
21018144	Orion Street	residential
21018440	Lico Street	residential
21018475	Felix Huertas Street	residential
22480434		service
22480449	Maginhawa Street	residential
22694321	Dagonoy Street	residential
22694324	Kapitan Tikong Street	residential
22694350	Mabini Flyover	primary
22694403	Mabini Bridge	primary
22694404	Mabini Bridge	primary
22694405	A.H. Lacson Avenue	primary
22729814	G. Tuazon Street	tertiary
22729816	A.H. Lacson Avenue	primary
22738965	Pedro Bukaneg Street	tertiary
22738966	Pablo Ocampo Street	secondary
22738968	Pablo Ocampo Street	secondary
22739769	Padre Burgos Avenue	primary
22739770	Roxas Boulevard	trunk
22739798	Bonifacio Drive	trunk
22739801	Bonifacio Drive	trunk
22739882	Andres Soriano Avenue	tertiary
22739883		footway
22740019	Mel Lopez Boulevard	trunk
22740020	San Miguel Drive	tertiary
22740359	Mel Lopez Boulevard	tertiary
22740567	Mel Lopez Boulevard	trunk
22740568	Mel Lopez Boulevard	trunk
22740569	Mel Lopez Boulevard	trunk
22740570	Mel Lopez Boulevard	tertiary
22740572	Mel Lopez Boulevard	trunk
22740748	Zaragoza Street	tertiary
22740750	Moriones Street	secondary
22740827	Moriones Street	secondary
22740828	Moriones Street	secondary
22740830	Nicolas Zamora Street	tertiary
22740987	Capulong Street	primary
22741033	Bonifacio Street	residential
22741264	Mel Lopez Boulevard	trunk
22741313	Mel Lopez Boulevard	trunk
22748886	Honorio Lopez Boulevard	secondary
22748890	Honorio Lopez Boulevard	secondary
22748891		pedestrian
22748963	Burgos Street	residential
22748965	Gomez Street	residential
22749792	Abad Santos Avenue	secondary
22749793	Abad Santos Avenue	secondary
22749794	Abad Santos Avenue	secondary
22749795	Abad Santos Avenue	secondary
22749872		unclassified
22749873		service
22749874		service
22749911	Delpan Street	tertiary
22749912	Delpan Street	tertiary
22749915	Jaboneros Street	residential
22749976	Esguerra Street	residential
22749977	Francisco Street	residential
22749978	Gerona Street	residential
22750585	Juan Luna Street	secondary
22750661	Juan Luna Street	secondary
22750665	Dandan Street	residential
22750666	Corcuera Street	residential
22750668	Baltazar Street	residential
22750669	Amarlanhagui Street	residential
22750712	Panday Pira Street	residential
22750713	PeÃ±alosa Street	residential
22750714	Pacheco Street	residential
22750715	Nicodemus Street	residential
22750716	Coral Street	residential
22750717	Pilapil Street	residential
22750718	Perla Street	residential
22750724	Pitong Gatang Street	footway
22750725	Mejorada Street	residential
22750789	Coral Street	residential
